Mixture coefficient spacing:	0.010 
Objective function name:	mixture_Dmax
Parent name	N
AND,SNR,PAR	883
SAL	299
CAR	105
Daughter name	N	AND,SNR,PAR	SAL	CAR	Mix. fun value 
MAN	307	0.660	0.310	0.030	4.261e-02
MLB	315	0.960	0.040	0.000	5.377e-02
DR585	311	1.000	0.000	0.000	6.576e-02
DR591	275	0.610	0.320	0.070	2.387e-02
DR584	290	0.440	0.560	0.000	5.300e-02
T755	307	0.600	0.320	0.080	4.278e-02
MDP	316	0.350	0.650	0.000	4.779e-02
T1135	100	0.000	0.250	0.750	5.020e-02
GSB	110	0.000	0.190	0.810	2.913e-01
T693	234	0.610	0.260	0.130	3.076e-02
T978	82	0.220	0.010	0.770	1.289e-01
T958	92	0.010	0.320	0.670	8.969e-02
